 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2015-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"24 Rio Grande do Norte";82,32;73,83;73,52;75,18;76,24;73,61;78,44;74,08;0,60;0,47;67,92;70,19;73,34;62,77;82,48;57,13;33,51;73,72;3,97;61,81;38,80;39,86;63,17
"25 Paraíba";93,56;79,46;82,94;83,17;85,31;81,20;86,35;81,26;0,47;0,81;75,84;72,53;75,04;66,93;88,27;61,75;32,36;81,31;2,38;62,95;36,32;39,91;67,65
"26 Pernambuco";94,25;82,83;85,51;86,95;90,32;86,39;90,20;86,60;0,54;0,69;79,26;80,86;84,86;74,36;96,19;69,13;41,21;86,50;3,29;73,44;53,61;55,38;72,83
"27 Alagoas";97,83;83,20;82,46;86,54;87,60;82,17;87,58;81,61;1,18;1,35;81,87;79,78;80,39;75,56;95,76;66,10;40,30;82,37;3,96;70,83;50,17;50,85;70,31
"28 Sergipe";91,09;91,00;81,07;81,41;82,51;80,12;84,00;78,65;0,11;0,64;76,23;77,62;80,20;68,99;86,10;69,17;35,71;80,24;2,73;69,24;35,96;38,25;68,81
"29 Bahia";80,50;70,66;71,90;75,06;76,36;73,23;76,71;72,87;0,10;66,82;69,25;66,71;72,63;61,73;77,65;59,85;32,38;73,69;2,81;62,36;28,76;36,36;64,31
"31 Minas Gerais";88,64;77,70;87,70;88,50;92,41;86,32;89,44;84,93;0,12;82,04;84,11;82,07;87,52;79,20;91,04;77,52;37,47;86,45;2,30;74,78;29,37;43,56;79,58
"32 Espírito Santo";87,64;79,97;83,95;83,83;91,64;82,11;87,03;82,76;0,35;37,07;78,74;82,38;84,34;74,21;89,57;73,97;38,41;82,44;2,44;65,76;50,95;60,54;74,68
"33 Rio de Janeiro";95,31;75,12;79,69;83,09;89,57;81,74;85,32;81,21;0,16;19,77;76,31;73,51;75,66;65,45;90,63;66,48;39,27;82,04;3,55;59,71;40,35;51,79;67,71
"35 São Paulo";89,39;81,88;84,36;84,09;91,71;82,55;87,54;82,85;0,65;32,97;76,52;77,99;78,86;74,57;86,57;78,10;51,68;83,14;2,09;66,82;36,13;42,66;73,33
"41 Paraná";90,47;70,23;85,33;87,68;94,52;85,41;88,18;84,02;0,14;69,08;83,96;82,42;86,24;74,08;87,13;81,07;72,06;85,61;2,60;64,06;31,70;48,38;79,16
"42 Santa Catarina";88,45;79,36;89,85;91,78;96,36;86,38;89,75;86,77;0,25;41,54;83,07;83,08;86,66;78,20;89,61;81,02;74,50;86,70;2,01;69,32;38,32;47,44;80,52
"43 Rio Grande do Sul";87,39;71,62;81,83;82,97;87,81;80,21;84,67;79,84;0,62;54,67;78,39;76,67;80,53;74,03;82,70;74,72;66,69;80,44;3,02;65,38;31,90;38,53;73,30
"50 Mato Grosso do Sul";102,33;93,82;92,03;93,25;94,04;91,89;95,64;91,03;0,47;86,37;85,98;86,91;91,02;85,04;94,54;79,98;71,95;92,28;2,99;81,47;52,50;52,66;84,19
"51 Mato Grosso";91,09;84,20;83,43;85,79;88,07;84,29;88,08;83,79;0,75;80,06;79,23;75,85;81,83;72,09;86,07;74,20;68,01;84,37;3,06;69,94;42,19;45,13;77,27
"52 Goiás";87,98;70,68;83,06;82,91;85,83;78,64;83,94;79,85;0,21;73,90;76,57;75,54;80,25;70,26;82,78;71,63;63,89;78,88;4,11;60,84;30,35;47,17;73,02
"53 Distrito Federal";93,78;104,62;85,82;90,72;91,74;86,63;90,46;87,61;0,12;83,42;83,35;80,98;87,75;75,77;86,88;85,61;82,12;87,32;3,49;74,09;53,51;53,05;83,16
"Total";89,67;78,57;82,22;83,62;87,63;81,22;85,74;81,31;0,43;47,09;77,14;76,53;79,79;70,96;86,29;71,59;49,74;81,51;2,77;66,09;37,83;45,11;72,45
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

